source,target
41925,318914
46184,318914
46223,318914
46236,318914
46250,318914
46445,318914
46470,318914
46500,318914
46522,318914
46735,318914
49855,318914
321771,318914
321831,318914
321842,318914
321864,318914
321900,318914
321912,318914
322389,318914
322413,318914
322442,318914
322511,318914
2769,318915
2788,318915
2810,318915
2839,318915
3077,318915
3086,318915
40326,318915
40350,318915
40375,318915
40404,318915
49202,318915
5638,318916
6088,318916
6475,318916
9021,318916
9041,318916
9058,318916
9074,318916
9095,318916
9114,318916
9126,318916
9504,318916
9516,318916
9529,318916
9552,318916
9569,318916
9585,318916
9605,318916
9622,318916
9639,318916
9657,318916
9675,318916
22724,318917
22733,318917
23110,318917
23131,318917
25418,318917
25437,318917
25457,318917
25517,318917
25535,318917
25563,318917
25597,318917
25975,318917
26410,318917
3103,318918
5247,318918
28781,318918
40421,318918
40426,318918
41164,318918
41177,318918
44894,318918
4570,318919
4611,318919
4656,318919
4667,318919
28944,318920
28954,318920
28955,318920
28966,318920
28974,318920
28991,318920
28992,318920
29002,318920
29012,318920
29029,318920
29036,318920
29044,318920
29045,318920
29051,318920
10404,318921
10588,318921
12124,318921
12127,318921
43520,318922
43535,318922
43548,318922
43810,318922
43826,318922
6757,318923
6776,318923
7150,318923
49615,318923
4288,318924
14939,318924
14942,318924
14973,318924
14999,318924
15028,318924
16369,318924
16410,318924
16419,318924
46090,318924
46106,318924
5106,318925
16349,318925
16381,318925
16391,318925
16406,318925
16439,318925
46075,318925
46094,318925
46121,318925
17006,318926
17015,318926
321605,318926
321655,318926
809,318927
39291,318927
39303,318927
39707,318927
39874,318927
39926,318927
40022,318927
40035,318927
40045,318927
32526,318928
32541,318928
32550,318928
32608,318928
32623,318928
32652,318928
32744,318928
32768,318928
33389,318928
33417,318928
48393,318928
322029,318928
17517,318930
17545,318930
17580,318930
17613,318930
17670,318930
17703,318930
17762,318930
29295,318931
29302,318931
29314,318931
29337,318931
29345,318931
29368,318931
29378,318931
29397,318931
29405,318931
29430,318931
29442,318931
29465,318931
29482,318931
29491,318931
29498,318931
29516,318931
29524,318931
29542,318931
29560,318931
29568,318931
29587,318931
29595,318931
29607,318931
29627,318931
29644,318931
29662,318931
29672,318931
29684,318931
29698,318931
29720,318931
29727,318931
29744,318931
29862,318931
30122,318931
30134,318931
48325,318931
3539,318932
3544,318932
4248,318932
4270,318932
4331,318932
4353,318932
4774,318932
4793,318932
5049,318932
5074,318932
14829,318932
14850,318932
14875,318932
15046,318932
15068,318932
15094,318932
15833,318932
15851,318932
16159,318932
16179,318932
16201,318932
16229,318932
16250,318932
16272,318932
46021,318932
46060,318932
46378,318932
47109,318932
23883,318933
23904,318933
23923,318933
23928,318933
23947,318933
35856,318933
36244,318933
51340,318933
33136,318934
33155,318934
33189,318934
33192,318934
33209,318934
33241,318934
33259,318934
33279,318934
33282,318934
33317,318934
33333,318934
33336,318934
33695,318934
33717,318934
33738,318934
33761,318934
33784,318934
33802,318934
33824,318934
33855,318934
34007,318934
34031,318934
34050,318934
34061,318934
34080,318934
34098,318934
34120,318934
34142,318934
34164,318934
34180,318934
34197,318934
34212,318934
34231,318934
34249,318934
34270,318934
34286,318934
34305,318934
34326,318934
34348,318934
34365,318934
34418,318934
34989,318934
35014,318934
35017,318934
36189,318934
36217,318934
48515,318934
48543,318934
322104,318934
3839,318935
3883,318935
4815,318935
15894,318935
11830,318936
44330,318936
44340,318936
44350,318936
4300,318937
4335,318937
4357,318937
4789,318937
4843,318937
4871,318937
4906,318937
4927,318937
5114,318937
5119,318937
5134,318937
14846,318937
14871,318937
14927,318937
14954,318937
14989,318937
15006,318937
15098,318937
15305,318937
15341,318937
15372,318937
15488,318937
15855,318937
15920,318937
15960,318937
15977,318937
15986,318937
16019,318937
16049,318937
16075,318937
16175,318937
16254,318937
16276,318937
16398,318937
46017,318937
12589,318938
13234,318938
41691,318938
41716,318938
41734,318938
41743,318938
42408,318938
44548,318938
34723,318939
34728,318939
34753,318939
34769,318939
34785,318939
34790,318939
34816,318939
34821,318939
34846,318939
34861,318939
34866,318939
34892,318939
34897,318939
34921,318939
34935,318939
34940,318939
34956,318939
34965,318939
34985,318939
41590,318940
41657,318940
41674,318940
42033,318940
42038,318940
42058,318940
11887,318941
11899,318941
11912,318941
43657,318941
43673,318941
44022,318941
44035,318941
44050,318941
45540,318941
45691,318941
45708,318941
45728,318941
45745,318941
45768,318941
45787,318941
45804,318941
45824,318941
46858,318941
46870,318941
20186,318942
20870,318942
20873,318942
20878,318942
20883,318942
20894,318942
20897,318942
20979,318942
22063,318942
22126,318942
5677,318943
5704,318943
5741,318943
6309,318943
6322,318943
6333,318943
6512,318943
6526,318943
6540,318943
7096,318943
7110,318943
7136,318943
7569,318943
7605,318943
44478,318943
27,318944
42,318944
3358,318944
3366,318944
3373,318944
3382,318944
3395,318944
3412,318944
3430,318944
3449,318944
3464,318944
3502,318944
3509,318944
3523,318944
3785,318944
3958,318944
3977,318944
3982,318944
4000,318944
4008,318944
4015,318944
4022,318944
4813,318944
4822,318944
14122,318944
14168,318944
14177,318944
14185,318944
14192,318944
