source,distance,target
319187,4.98,319229
319187,1.5,319833
319188,1.82,319000
319188,0.86,320214
319189,9.39,320317
319189,3.81,320665
319189,5.93,320774
319189,0.81,321409
319190,3.61,319137
319190,6.21,320216
319191,1.04,320458
319192,0.76,319191
319192,1.45,320062
319192,1.35,320732
319193,9.06,319580
319193,1.59,320556
319194,3.59,319144
319194,6.28,319336
319194,2.68,319769
319195,3.25,319547
319195,5.25,320019
319195,4.0,320441
319195,5.5,321155
319196,0.5,319570
319197,1.24,320559
319198,1.06,319690
319198,0.88,320700
319199,1.75,320534
319200,1.11,321206
319201,1.11,319551
319201,0.51,319988
319201,5.41,320154
319201,3.18,321283
319202,1.75,320723
319202,0.98,321345
319204,0.44,319852
319204,0.53,319935
319205,0.88,319206
319205,1.64,321289
319206,0.48,319203
319207,5.21,319780
319207,3.66,321440
319208,1.19,320547
319208,1.08,321136
319209,0.78,319978
319209,2.33,320264
319210,0.5,319708
319211,0.7,319210
319211,0.73,321031
319212,3.03,319146
319212,3.02,319692
319212,1.36,320014
319213,4.02,320264
319213,1.77,320567
319214,1.44,320324
319214,1.58,320431
319215,12.1,320026
319215,6.69,321357
319216,3.58,319072
319216,31.14,319357
319216,6.16,319614
319216,12.6,321452
319217,1.39,319609
319217,1.18,320113
319218,1.71,320811
319219,1.15,319284
319219,3.1,319537
319219,1.59,320985
319220,2.23,321002
319221,4.29,319331
319222,3.73,320799
319222,4.69,321500
319223,1.86,319650
319223,1.59,320838
319223,1.0,321490
319224,1.04,320048
319224,0.8,320553
319225,0.44,321009
319226,0.86,320968
319227,2.76,319462
319227,2.54,320054
319228,4.4,319581
319228,10.9,319981
319229,2.95,319746
319230,3.19,319344
319230,2.94,320855
319230,1.73,320878
319231,12.25,319829
319231,25.96,321120
319232,1.04,319860
319232,2.9,320474
319233,1.51,320059
319233,1.23,320546
319234,2.59,320627
319234,2.91,320864
319235,1.03,319327
319235,1.35,320211
319236,1.23,319626
319236,3.24,320399
319237,4.6,320162
319237,1.03,320241
319237,10.0,320735
319238,1.43,319751
319238,1.3,320652
319238,34.49,320909
319238,6.25,321501
319239,2.15,319021
319240,2.04,319497
319240,2.33,320346
319241,3.2,320071
319241,2.0,320945
319242,0.76,320929
319242,0.79,321367
319243,0.96,319244
319243,2.15,319267
319243,2.2,320287
319244,4.83,320571
319245,3.9,319652
319245,0.78,320532
319246,3.51,319320
319246,10.61,319791
319247,20.95,319348
319247,11.03,320818
319248,1.94,319640
319248,3.74,319995
319249,1.3,319814
319249,3.69,321388
319250,1.45,320538
319250,2.01,320919
319251,2.91,320942
319252,0.99,321170
319252,1.96,321296
319252,6.08,321489
319253,0.56,320018
319253,1.18,321356
319254,3.24,319840
319254,3.01,320271
319255,3.63,320893
319255,3.04,321046
319256,5.61,320050
319256,10.33,320411
319256,7.8,320634
319257,1.44,320544
319257,0.88,320914
319258,2.29,319963
319258,2.8,320511
319259,9.69,320153
319259,4.09,321202
319260,2.59,319553
319260,2.89,320816
319261,3.0,320370
319262,0.64,319294
319262,1.14,320298
319262,2.9,321066
319263,1.08,319774
319264,2.56,321329
319264,2.5,321391
319265,1.63,319590
319266,2.6,319897
319266,1.76,320184
319267,2.24,319425
319268,2.06,320368
319268,2.46,320795
319269,1.99,319380
319269,5.59,320305
319270,2.0,319361
319270,2.55,320278
319271,2.75,320097
319271,5.5,320581
319272,3.33,319364
319272,4.86,321130
319273,2.06,319946
319273,0.84,321488
319274,1.36,320424
319275,1.08,320850
319276,2.21,319197
319276,0.49,319275
319277,12.89,319962
319277,1.25,320850
319277,9.27,321216
319278,1.39,320028
319278,2.01,321154
319279,12.98,321214
319279,4.89,321413
319280,0.81,319403
319280,1.0,321183
319281,1.29,319490
319281,0.81,321308
319281,1.45,321309
319283,3.04,319633
319284,1.39,321346
319285,4.71,319316
319285,2.31,321262
319286,1.28,321318
319286,1.25,321358
319287,1.93,320310
319287,2.73,320315
319288,1.9,319563
319289,0.68,319326
319289,0.63,320052
319290,2.91,319908
319291,2.29,319292
319291,11.36,319623
319291,6.98,319776
319291,3.21,320944
319292,3.07,321307
319293,8.5,319413
319293,9.66,319488
319293,0.96,319728
319293,1.45,320238
319294,0.65,320342
319295,1.69,319458
319295,2.1,321203
319296,0.7,320327
319298,1.9,320268
319298,1.15,321082
319299,1.08,319300
319300,0.49,319311
319300,2.55,319975
319300,2.48,319976
319301,0.68,320044
319302,2.01,320219
319302,5.61,321267
319303,4.04,319529
319303,8.53,319881
319303,25.83,320255
319303,17.85,320707
319303,4.28,321357
319304,5.13,319836
319304,1.47,320471
319304,2.23,320861
319305,28.04,320135
319306,21.65,320412
319306,5.55,320611
319307,1.5,319831
319307,3.34,320565
319307,4.91,321331
319308,1.66,321385
319309,0.76,320258
319309,1.49,320356
319311,2.75,320301
319312,1.48,319930
319312,6.4,320199
319313,1.36,320910
319313,1.31,321086
319314,0.46,319599
319314,0.75,320932
319315,4.03,320233
319316,3.5,319698
319317,2.33,319661
319317,1.8,320638
319318,5.89,319958
319318,3.65,320814
319319,2.55,320681
319319,3.0,321369
319320,27.44,321173
319320,11.6,321509
319321,0.76,320337
319321,0.66,320513
319321,0.8,320516
319322,6.61,319343
319322,0.74,320930
319323,3.5,319847
319323,2.18,320250
319324,3.78,319836
319324,0.64,320022
319325,3.6,319471
319325,3.15,319572
319325,5.48,320025
319326,1.88,319910
319327,0.46,320164
319328,2.6,320145
319329,0.9,319310
319329,1.16,320583
319330,2.33,319877
319330,2.01,320615
319331,2.38,321268
319333,0.66,319760
319333,0.55,321278
319334,1.63,319846
319334,0.56,320796
319335,1.63,319752
319336,1.53,319798
319337,2.26,320036
319337,2.34,321089
319338,4.09,320363
319338,4.44,321239
319339,0.69,319858
319339,2.4,320846
319340,1.46,319716
319340,1.01,321139
319341,2.3,319633
319341,3.81,321363
319342,3.84,319864
319343,7.95,320379
319344,0.91,321186
319344,1.23,321291
319345,6.53,320416
319345,2.05,321512
319346,24.15,319600
319346,5.3,319612
319347,5.24,320413
319347,2.26,320940
319347,1.86,321266
319349,1.83,320003
319350,6.21,320420
319350,16.66,320909
319351,3.06,319856
319351,4.26,320863
319352,1.08,320159
319353,2.21,319368
319354,1.34,320288
319354,0.96,321324
319355,6.18,320000
319355,6.2,320120
319356,1.24,320192
319356,1.5,320628
319357,6.53,319848
319357,14.49,321100
319358,3.94,319862
319358,1.84,320936
319359,5.74,319649
319359,8.12,319961
319359,3.65,320598
319360,4.66,319560
319360,3.71,319865
319362,1.63,320834
319363,3.04,319677
319363,4.06,320418
319364,3.48,320491
319365,3.29,320011
319365,1.95,320713
319366,0.79,319840
319366,1.7,320751
319367,2.39,320057
319368,2.19,320797
319369,0.82,321414
319370,2.39,320167
319370,1.01,321332
319371,0.98,319675
319371,1.44,320676
319371,2.24,321096
319372,0.76,319696
319372,0.78,321494
319373,0.6,319374
319373,1.24,321217
319375,7.43,319982
319375,7.25,320449
319375,7.84,320956
319375,12.08,321466
319376,2.16,320077
319376,1.49,321378
319377,1.0,319931
319377,1.0,320495
319378,0.66,320455
319378,1.11,320692
319379,2.5,321284
319380,3.38,319812
319382,1.31,319624
319382,0.76,320508
319383,4.63,321198
319384,3.18,320082
319384,3.25,320351
319385,0.99,319923
319385,1.74,321084
319385,2.05,321246
319386,6.84,319410
319386,14.0,319749
319386,4.93,319954
319387,1.74,319951
319387,5.46,320237
319388,2.41,321403
319389,1.03,319388
319389,2.28,319390
319390,1.96,319388
319390,7.78,320395
319390,5.04,320491
319391,1.11,319415
319391,0.45,320002
319392,2.51,319610
319393,1.79,319301
319393,3.13,320086
319394,0.59,320813
319394,2.1,320925
319395,5.06,320540
319395,5.19,320602
319395,2.59,321151
319396,13.36,319980
319396,3.75,321362
319397,2.08,319332
319397,4.71,321493
319398,0.79,319673
319398,0.75,320528
319399,1.96,319551
319399,0.39,321432
319401,1.0,319503
319401,1.66,319700
319401,1.26,320777
319401,1.36,321299
319401,0.8,321340
319402,6.64,319824
319403,1.3,319827
319404,5.76,319604
319404,8.3,320593
319405,1.54,320543
319406,3.01,320144
319406,2.98,320991
319407,2.83,319902
319407,4.14,320256
319408,1.24,319525
319408,0.84,321505
319409,1.09,320035
319409,1.85,320638
319410,5.35,321373
319411,1.35,319745
319412,2.23,319785
319413,0.69,319888
319413,8.0,320238
319414,5.04,319836
319414,1.59,320607
319414,1.89,320861
319415,0.54,320204
319416,3.06,320819
319416,2.11,321474
319417,7.11,319805
319417,14.08,321373
319418,1.86,319970
319418,2.05,320329
319420,1.0,319527
319420,0.74,319528
319420,0.55,320002
319422,0.56,319860
319423,6.58,320922
319424,3.16,319332
319424,2.38,321125
319425,2.16,320799
319426,0.8,320970
319427,5.45,319888
319427,0.75,321368
319428,0.96,319429
319430,1.7,320572
319432,0.73,319639
319432,1.6,319854
319433,2.56,320276
319433,2.86,320689
319434,10.75,320563
319434,7.54,321393
319434,1.5,321487
319435,2.04,320559
319436,3.7,320427
319436,1.81,320763
319437,0.78,320815
319437,0.91,321332
319438,3.58,319752
319438,1.06,319937
319439,1.59,319510
319439,4.09,320184
319440,4.75,319590
319440,2.28,320430
319441,5.63,320169
319441,8.08,320387
319442,6.18,320614
319442,6.69,321174
319443,3.0,319565
319443,2.68,320517
319444,3.06,320983
319444,3.04,321061
319445,1.06,320233
319445,4.3,320703
319446,1.64,319804
319447,2.06,320295
319447,1.74,321086
319448,1.64,320473
319448,2.93,321503
319449,7.5,320158
319449,17.7,320612
319450,2.86,320246
319451,7.23,320786
319451,10.06,321247
319452,0.41,321365
319453,1.38,321205
319453,3.31,321489
319454,3.16,320948
319455,1.43,320008
319455,2.65,320656
319456,2.55,320264
319456,2.08,320493
319457,3.0,319458
319458,5.11,320152
319458,11.46,320865
319459,1.99,319993
319460,3.16,320051
319461,1.25,320380
319461,1.43,320622
319462,7.17,319507
319462,7.56,320364
319463,1.23,320114
319463,1.34,321185
319464,3.11,319996
319464,2.3,320832
319465,3.59,321053
319465,1.06,321372
319466,0.7,319300
319466,1.11,319854
319466,0.99,320555
319466,11.79,320601
319466,11.25,320718
319466,12.52,320773
319467,2.64,320576
319467,18.06,320617
319467,3.66,321503
319468,1.18,321435
319469,21.1,319375
319469,4.48,320524
319469,4.6,320892
319469,24.26,321040
319469,7.54,321436
319470,1.83,319537
319470,2.36,320985
319471,1.16,320024
319472,1.64,319866
319473,4.43,320671
319473,5.03,320734
319474,1.86,319971
319474,1.19,321376
319475,8.8,321508
319476,8.28,319496
319476,8.4,320231
319476,5.8,320949
319476,4.45,321399
319477,0.59,321325
319477,1.15,321443
319478,9.35,320396
319478,6.7,320494
319479,6.09,320232
319479,3.75,320905
319479,9.74,321354
319480,4.0,320270
319481,5.14,321258
319481,4.95,321259
319482,1.41,320104
319482,0.55,320508
319483,0.79,320405
319483,2.96,321315
319484,0.54,320513
319484,0.44,320780
319485,7.28,320733
319485,2.55,320864
319486,0.91,320069
319486,0.93,321275
319487,6.03,321197
319488,10.29,319729
319488,9.99,320238
319488,5.25,320271
319489,2.5,320358
319490,1.39,320088
319491,1.04,321139
319491,0.84,321295
319492,0.86,320015
319492,1.33,321139
319493,2.5,320530
319493,2.0,320833
319494,2.24,319836
319494,1.08,320688
319495,2.39,320102
319495,0.75,320377
319496,17.75,320212
319496,47.84,320255
319497,3.14,320581
319498,0.83,319879
319499,3.13,321476
319500,2.25,320286
319500,1.36,321383
319501,1.55,321007
319501,3.28,321441
319502,0.75,319828
319502,1.5,320566
319502,1.15,321159
319503,0.91,321317
319504,2.0,319670
319504,5.16,320848
319505,2.86,319809
319505,4.41,320264
319506,2.94,320459
319506,1.61,320794
319507,12.78,320969
319508,0.34,319768
319509,1.4,319430
319510,1.45,319532
319511,7.38,319991
319511,3.96,320098
319512,2.95,319548
319512,2.84,319818
319513,1.71,319472
319514,2.23,320801
319515,0.43,320124
319516,6.23,320275
319516,2.3,321028
319517,4.5,320212
319517,1.6,321361
319519,4.05,319579
319519,2.21,320250
319520,7.99,320601
319520,2.92,320717
319520,15.81,320930
319521,1.76,319925
319521,2.33,321121
319522,4.69,320306
319522,3.98,320934
319523,1.47,319919
319523,2.51,320010
319524,1.43,320133
319525,1.28,320187
319525,0.88,320978
319526,2.74,319839
319526,3.48,320174
319527,0.4,319920
319528,0.75,319913
319528,1.57,320342
319529,7.5,321390
319530,4.29,320849
319530,3.21,321267
319531,10.19,320608
319532,3.61,320262
319533,0.5,319796
319533,1.25,320783
319534,2.97,319985
319534,1.88,321333
319535,2.1,320943
319535,3.18,321330
319536,5.19,319927
319536,4.33,321158
319537,2.01,320985
319537,1.96,321057
319538,3.75,319692
319539,1.2,321135
319539,1.8,321478
319540,0.96,321089
319540,0.89,321428
319541,1.64,319542
319541,2.91,321178
319542,1.98,321114
319543,1.0,320501
319544,4.13,321147
319544,1.64,321294
319545,17.45,319875
319545,8.99,320994
319546,1.25,320233
319546,1.73,320365
319547,2.0,319972
319547,2.69,320441
319548,2.9,320449
319549,2.71,321473
319550,0.85,319549
319550,1.78,319821
319551,2.6,319676
319551,0.86,320658
319552,3.25,319811
319552,6.15,320827
319554,0.51,319855
319554,3.08,320327
319555,8.1,321238
319555,2.56,321481
319556,1.25,320697
319557,2.16,319854
319557,0.45,320664
319559,2.11,320837
319560,24.16,320909
319561,1.0,320589
319561,1.9,320716
319562,3.31,321470
319562,1.34,321479
319563,0.98,319639
319564,1.39,320721
319564,0.54,321215
319565,11.85,319813
319566,1.75,321245
319567,1.46,320417
319567,1.66,320599
319568,19.98,320571
319568,14.38,321127
319569,2.75,320339
319569,12.08,321258
319570,0.79,320861
319571,4.03,319653
319571,9.96,320335
319571,1.84,320568
319572,1.66,320817
319573,3.81,319566
319573,22.04,319604
319573,14.18,320558
319573,1.28,320582
319574,1.41,320712
319574,1.81,320845
319575,0.38,319572
319575,0.56,319576
319577,4.06,320669
319577,2.2,321032
319578,1.6,319579
319578,2.23,320851
319580,2.23,321065
319581,1.83,319861
319582,1.23,319904
319582,2.29,320593
319583,1.06,319849
319583,0.86,319915
319584,1.86,319825
319584,8.38,320467
319584,1.86,320812
319585,0.4,319556
319585,0.56,320161
319586,1.5,320984
319587,3.64,320303
319587,2.94,320772
319588,1.28,321194
319588,4.26,321395
319589,2.96,320557
319589,3.08,321169
319590,21.16,319817
319590,3.56,320182
319590,16.68,320753
319590,17.35,320858
319590,18.35,320920
319590,32.54,321506
319591,5.23,319887
319591,4.25,320943
319592,2.55,320237
319592,1.9,321334
319593,4.96,320021
319594,2.29,319666
319594,1.5,320293
319595,7.41,319761
319595,2.18,320217
319595,4.94,320462
319596,0.46,319944
319596,1.36,320731
319597,3.9,320412
319597,5.06,320668
319598,10.08,320361
319598,4.79,321312
319599,0.58,321341
319600,5.21,319620
319600,1.38,320659
319600,2.53,321026
319601,5.58,320480
319601,4.51,321277
319602,7.64,320416
319602,4.59,321277
319603,11.31,319628
319603,5.0,319672
319603,4.53,320333
319603,4.38,320529
319605,3.2,320092
319605,2.11,320521
319606,1.76,320820
319606,2.25,320917
319607,0.71,319553
319607,4.74,319862
319608,0.88,319615
319608,1.13,321356
319609,0.92,321370
319611,0.91,319868
319611,0.8,321492
319612,7.55,319887
319612,6.95,320943
319613,7.58,321404
319614,5.64,319966
319614,6.03,321453
319614,5.76,321454
319615,0.94,320978
319616,0.76,319767
319616,0.43,320002
319617,4.03,320192
319617,1.55,321142
319619,1.96,321012
319619,0.89,321205
319621,3.88,320223
319621,1.45,320691
319623,3.15,320600
